,Job Title,Location,Industry,Sector,salary_average,City,State,Lat,Lng
83,data scientist,"San Francisco, CA",Internet,Information Technology,99500,San Francisco,CA,37.7749295,-122.4194155
84,data scientist,"Merrifield, VA",Banks & Building Societies,Finance,99500,Merrifield,VA,38.8742785,-77.2269262
85,data scientist,"Richmond, VA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,99500,Richmond,VA,37.5407246,-77.4360481
86,data scientist,"Hauppauge, NY",-1,-1,99500,Hauppauge,NY,40.8256536,-73.2026138
87,data scientist,"New York, NY",Internet,Information Technology,99500,New York,NY,40.7127753,-74.0059728
88,data scientist,"Madison, WI",Insurance Operators,Insurance,99500,Madison,WI,43.0730517,-89.4012302
89,data scientist,"Aurora, IL",Healthcare Services & Hospitals,Healthcare,99500,Aurora,IL,41.7605849,-88.32007150000001
90,data scientist,"Westlake, TX",Investment Banking & Asset Management,Finance,99500,Westlake,TX,32.991235,-97.19501380000001
91,data scientist,"San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,124500,San Francisco,CA,37.7749295,-122.4194155
92,data scientist,"Dallas, TX",-1,-1,124500,Dallas,TX,32.7766642,-96.79698789999999
93,data scientist,"San Antonio, TX",Staffing & Outsourcing,Business Services,124500,San Antonio,TX,29.4241219,-98.49362819999999
94,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500,Cambridge,MA,42.3736158,-71.10973349999999
95,data scientist,"Mountain View, CA",Enterprise Software & Network Solutions,Information Technology,124500,Mountain View,CA,37.3860517,-122.0838511
96,data scientist,"Atlanta, GA",Computer Hardware & Software,Information Technology,124500,Atlanta,GA,33.7489954,-84.3879824
97,data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,124500,Memphis,TN,35.1495343,-90.0489801
98,data scientist,"New York, NY",Consulting,Business Services,124500,New York,NY,40.7127753,-74.0059728
99,data scientist,"New York, NY",Research & Development,Business Services,124500,New York,NY,40.7127753,-74.0059728
100,data scientist,"Akron, OH",Consumer Products Manufacturing,Manufacturing,124500,Akron,OH,41.0814447,-81.51900529999999
101,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500,Cambridge,MA,42.3736158,-71.10973349999999
102,data scientist,"Blue Ash, OH",Grocery Shops & Supermarkets,Retail,124500,Blue Ash,OH,39.2320029,-84.3782734
103,data scientist,"United States , Raleigh",IT Services,Information Technology,124500,United States ,Raleigh,35.7795897,-78.6381787
104,data scientist,"Appleton, WI",Insurance Operators,Insurance,124500,Appleton,WI,44.2619309,-88.41538469999999
105,data scientist,"Vicksburg, MS",IT Services,Information Technology,124500,Vicksburg,MS,32.3526456,-90.877882
