Job Title,Location,Industry,Sector,salary_average
data scientist,"San Francisco, CA",Investment Banking & Asset Management,Finance,57000
data scientist,"Wright Patterson AFB, OH",Government Agencies,Government,57000
data scientist,United States,Beauty & Personal Accessories Shops,Retail,57000
data scientist,"Simi Valley, CA",Aerospace & Defence,Aerospace & Defence,57000
data scientist,"San Francisco, CA",Computer Hardware & Software,Information Technology,57000
data scientist,"New York, NY",Investment Banking & Asset Management,Finance,57000
data scientist,"Bethesda, MD",Preschool & Child Care,Education,57000
data scientist,"Hoopeston, IL",Food & Drink Manufacturing,Manufacturing,57000
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,57000
data scientist,"New York, NY",-1,-1,57000
data scientist,"Madison, WI",Healthcare Services & Hospitals,Healthcare,57000
data scientist,"San Mateo, CA",Internet,Information Technology,184000
data scientist,"South San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,184000
data scientist,"Seattle, WA",Insurance Operators,Insurance,184000
data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,184000
data scientist,"Jamaica, NY",Consulting,Business Services,184000
data scientist,"San Mateo, CA",Investment Banking & Asset Management,Finance,184000
data scientist,"Fort Belvoir, VA",Consulting,Business Services,184000
data scientist,"Chicago, IL",Insurance Operators,Insurance,184000
data scientist,"Herndon, VA",Aerospace & Defence,Aerospace & Defence,184000
data scientist,"Washington, DC",Internet,Information Technology,184000
data scientist,"San Antonio, TX",Insurance Operators,Insurance,184000
data scientist,"Atlanta, GA",IT Services,Information Technology,184000
data scientist,"Vail, CO",Healthcare Services & Hospitals,Healthcare,184000
data scientist,"Austin, TX",Computer Hardware & Software,Information Technology,184000
data scientist,"Los Angeles, CA",Advertising & Marketing,Business Services,184000
data scientist,"Saint Louis, MO",Staffing & Outsourcing,Business Services,184000
data scientist,Remote,Internet,Information Technology,184000
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,184000
data scientist,"Kansas City, MO",Insurance Operators,Insurance,184000
data scientist,"Pittsburgh, PA",Colleges & Universities,Education,184000
data scientist,"Albany, NY",Consulting,Business Services,184000
data scientist,"Philadelphia, PA",Healthcare Services & Hospitals,Healthcare,111000
data scientist,"Chicago, IL",Investment Banking & Asset Management,Finance,111000
data scientist,"Windsor, CT",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000
data scientist,"San Diego, CA",Consulting,Business Services,111000
data scientist,"Houston, TX",IT Services,Information Technology,111000
data scientist,"McLean, VA",Aerospace & Defence,Aerospace & Defence,111000
data scientist,"Omaha, NE",Transportation Management,Transportation & Logistics,111000
data scientist,"Madison, WI",Healthcare Services & Hospitals,Healthcare,111000
data scientist,"Madison, WI",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000
data scientist,"Indianapolis, IN",Architectural & Engineering Services,Business Services,111000
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,111000
data scientist,"Tulsa, OK",Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",111000
data scientist,"Aliso Viejo, CA",Video Games,Media,111000
data scientist,"Des Moines, IA",Insurance Operators,Insurance,111000
data scientist,"Bloomington, MN",IT Services,Information Technology,111000
data scientist,"Alexandria, VA",IT Services,Information Technology,111000
data scientist,"San Francisco, CA",Consumer Product Hire,Consumer Services,111000
data scientist,"New Haven, CT",Architectural & Engineering Services,Business Services,111000
data scientist,"San Bruno, CA",Staffing & Outsourcing,Business Services,111000
data scientist,"Reston, VA",IT Services,Information Technology,111000
data scientist,"San Francisco, CA",Express Delivery Services,Transportation & Logistics,111000
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000
data scientist,"Baltimore, MD",Enterprise Software & Network Solutions,Information Technology,111000
data scientist,"Boston, MA",Insurance Operators,Insurance,111000
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500
data scientist,"Waltham, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500
data scientist,"Blue Bell, PA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500
data scientist,"Chicago, IL",Enterprise Software & Network Solutions,Information Technology,75500
data scientist,"Reston, VA",IT Services,Information Technology,75500
data scientist,"Orchard Park, NY",Social Services,Non-Profits,75500
data scientist,"Beavercreek, OH",Government Agencies,Government,75500
data scientist,"Thousand Oaks, CA",Consulting,Business Services,75500
data scientist,"Saint Louis, MO",Computer Hardware & Software,Information Technology,75500
data scientist,"San Francisco, CA",Internet,Information Technology,75500
data scientist,"Thousand Oaks, CA",Staffing & Outsourcing,Business Services,75500
data scientist,"Springfield, VA",IT Services,Information Technology,75500
data scientist,"Newton, MA",Electrical & Electronic Manufacturing,Manufacturing,75500
data scientist,"Washington, DC",IT Services,Information Technology,75500
data scientist,"New York, NY",Healthcare Services & Hospitals,Healthcare,75500
data scientist,"Fremont, CA",IT Services,Information Technology,75500
data scientist,"Columbia, MO",Insurance Operators,Insurance,75500
data scientist,"Cambridge, MA",Computer Hardware & Software,Information Technology,75500
data scientist,"Bellevue, WA",Computer Hardware & Software,Information Technology,75500
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,75500
data scientist,"Santa Barbara, CA",Internet,Information Technology,75500
data scientist,"Tulsa, OK",Oil & Gas Services,"Oil, Gas, Energy & Utilities",75500
data scientist,"Campbell, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500
data scientist,"Burlingame, CA",Video Games,Media,130000
data scientist,"San Bruno, CA",-1,-1,130000
data scientist,"Winston-Salem, NC",Consumer Products Manufacturing,Manufacturing,130000
data scientist,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000
data scientist,"New York, NY",Enterprise Software & Network Solutions,Information Technology,130000
data scientist,"Woodland Hills, CA",Computer Hardware & Software,Information Technology,130000
data scientist,"Denver, CO",Insurance Operators,Insurance,130000
data scientist,"Hoboken, NJ",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000
data scientist,"Richmond, VA",Banks & Building Societies,Finance,130000
data scientist,"Minneapolis, MN",Consulting,Business Services,130000
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000
data scientist,"Boston, MA",Consulting,Business Services,130000
data scientist,"Greenfield, IN",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000
data scientist,"Quincy, MA",Insurance Operators,Insurance,130000
data scientist,"Aurora, CO",Insurance Operators,Insurance,130000
data scientist,"Foster City, CA",IT Services,Information Technology,130000
data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,130000
data scientist,"San Bruno, CA",Staffing & Outsourcing,Business Services,130000
data scientist,"Foster City, CA",Computer Hardware & Software,Information Technology,130000
data scientist,"Northbrook, IL",Chemical Manufacturing,Manufacturing,130000
data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,130000
