,job_title,salary_offered,category,job_board,city,state,C#,R,Agile,AWS,Azure,DATA STUDIO,Degree,GOLang,Hadoop,Hive,INSIGHT,JAVA,KAFKA,MATLAB,MATPLOTLIB,NOSQL,PANDAS,PERL,PIG,POSTGRESQL,POWERBI,PYTHON,QLIKVIEW,R CLOUD,SCALA,SPARK,SQL,SCIKITLEARN,TABLEAU,UNIX
44,data scientist,,,dice,Monterey,CA,1.0,1,0,0,0,0.0,1,0,0,0,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
45,data scientist,,,dice,Rosemont,IL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46,data scientist,,,dice,Milpitas,CA,0.0,1,0,0,0,0.0,0,0,1,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
47,data scientist,,,dice,Menlo Park,CA,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
48,data scientist,,,dice,Des Plaines,IL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
49,data scientist,,,dice,Foster City,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,data scientist,,,dice,San Jose,CA,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,data scientist,,,dice,San Jose,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,data scientist,,,dice,Santa Clara,CA,0.0,1,0,0,0,0.0,0,0,1,1,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
53,data scientist,,,dice,San Mateo,CA,0.0,1,1,0,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
54,data scientist,,,dice,Mclean,VA,0.0,1,0,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,data scientist,,,dice,Alexandria,VA,0.0,1,0,0,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56,data scientist,,Computer/Internet,indeed,Cincinnati,OH,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
57,data scientist,,Computer/Internet,indeed,Chantilly,VA,0.0,1,0,0,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,data scientist,,Computer/Internet,indeed,Washington,DC,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,data scientist,,Computer/Internet,indeed,Rockville,MD,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
60,data scientist,,Arts/Entertainment/Publishing,indeed,Los Angeles,CA,0.0,1,0,0,0,0.0,1,0,1,1,,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
61,data scientist,,,dice,Charlotte,NC,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
62,data scientist,,,dice,Sunnyvale,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,data scientist,,Banking/Loans,indeed,Waltham,MA,0.0,1,1,0,0,0.0,1,0,1,0,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1
64,data scientist,,,dice,Bellevue,WA,0.0,1,0,0,0,0.0,0,0,1,0,,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
